"REF_DATE","GEO","DGUID","Age group","Sex","High blood pressure","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","Number of persons","Persons","249","units ","0","v1889082","1.2.1.2.1","","F","","","0"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889083","1.2.1.2.2","","F","","","0"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889084","1.2.1.2.3","","F","","","0"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009447","1.2.1.2.4","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","Percent","Percent","239","units ","0","v4009448","1.2.1.2.5","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009449","1.2.1.2.6","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009450","1.2.1.2.7","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","With high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009451","1.2.1.2.8","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","Number of persons","Persons","249","units ","0","v1889085","1.2.1.3.1","3366468","","","","0"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889086","1.2.1.3.2","3249255","","","","0"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889087","1.2.1.3.3","3483681","","","","0"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009455","1.2.1.3.4","1.8","","","","1"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","Percent","Percent","239","units ","0","v4009456","1.2.1.3.5","99.8","","","","1"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009457","1.2.1.3.6","99.6","","","","1"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009458","1.2.1.3.7","100.0","","","","1"
"1994","Canada","","12-19 years","Both sexes","Without high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009459","1.2.1.3.8","0.1","","","","1"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","Number of persons","Persons","249","units ","0","v1889088","1.2.1.4.1","","F","","","0"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889089","1.2.1.4.2","","F","","","0"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889090","1.2.1.4.3","","F","","","0"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4009463","1.2.1.4.4","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","Percent","Percent","239","units ","0","v4009464","1.2.1.4.5","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4009465","1.2.1.4.6","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4009466","1.2.1.4.7","","F","","","1"
"1994","Canada","","12-19 years","Both sexes","High blood pressure, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4009467","1.2.1.4.8","","F","","","1"
"1994","Canada","","12-19 years","Males","Total population for the variable high blood pressure","Number of persons","Persons","249","units ","0","v1889091","1.2.2.1.1","1763017","","","","0"
